Squad,# Pl,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Points
Augsburg,28,34,45,358,129,36,10.53,3.79,0.12,0.33,19,24,3,5,43.1,39.1,0.11,1.9,2.9,36
Bayern Munich,29,34,97,609,243,39.9,17.91,7.15,0.15,0.37,16.5,13,6,6,89.5,84.8,0.14,7.5,6.2,82
Dortmund,27,34,84,442,188,42.5,13,5.53,0.19,0.44,16.7,14,2,2,61,59.5,0.14,23,22.5,69
Düsseldorf,28,34,36,424,114,26.9,12.47,3.35,0.08,0.28,20,20,4,4,35.9,32.7,0.08,0.1,-0.7,30
Eint Frankfurt,27,34,57,500,170,34,14.71,5,0.11,0.32,16.7,16,2,2,59.5,58,0.12,-2.5,-3,45
Freiburg,26,34,46,442,138,31.2,13,4.06,0.09,0.3,17.7,27,5,6,46.7,42,0.1,-0.7,-1,48
Hertha BSC,32,34,45,357,119,33.3,10.5,3.5,0.12,0.35,17.7,12,3,3,43.1,40.7,0.12,1.9,1.3,41
Hoffenheim,31,34,52,447,154,34.5,13.15,4.53,0.11,0.32,17.1,24,3,4,56.1,53,0.12,-4.1,-4,52
Köln,29,34,50,413,147,35.6,12.15,4.32,0.12,0.33,16.8,20,2,4,48.9,46.3,0.12,1.1,1.7,36
Leverkusen,24,34,57,492,182,37,14.47,5.35,0.11,0.3,16.7,6,2,2,59.1,57.5,0.12,-2.1,-2.5,63
M'Gladbach,25,34,64,475,187,39.4,13.97,5.5,0.13,0.32,17,26,4,6,72,67.2,0.15,-8,-7.2,65
Mainz 05,25,34,42,450,139,30.9,13.24,4.09,0.09,0.28,18.9,13,3,3,48.2,45.8,0.1,-6.2,-6.8,37
Paderborn 07,27,34,37,427,124,29,12.56,3.65,0.08,0.28,19.7,20,2,4,39.2,36.1,0.09,-2.2,-1.1,20
RB Leipzig,29,34,81,545,206,37.8,16.03,6.06,0.14,0.37,17,23,5,5,71.3,67.6,0.13,9.7,8.4,66
Schalke 04,29,34,35,383,124,32.4,11.26,3.65,0.09,0.27,18.5,10,2,2,37.8,36.2,0.1,-2.8,-3.2,39
Union Berlin,26,34,38,397,130,32.7,11.68,3.82,0.09,0.26,18,7,4,5,41.4,37.6,0.1,-3.4,-3.6,41
Werder Bremen,30,34,40,419,133,31.7,12.32,3.91,0.09,0.28,18.7,11,3,6,39.4,34.7,0.09,0.6,2.3,31
Wolfsburg,26,34,48,471,153,32.5,13.85,4.5,0.09,0.29,18,12,4,4,52.8,49.7,0.11,-4.8,-5.7,49
