Squad,# Pl,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Points
Arsenal,26,38,84,589,194,32.9,15.5,5.11,0.14,0.42,16,16,3,4,71.9,69.1,0.12,12.1,11.9,84
Aston Villa,26,38,49,427,145,34,11.24,3.82,0.11,0.32,18,18,3,4,50.2,47.2,0.11,-1.2,-1.2,61
Bournemouth,31,38,37,358,126,35.2,9.42,3.32,0.1,0.29,15.5,14,0,0,38.6,38.6,0.11,-1.6,-1.6,39
Brentford,25,38,56,400,147,36.8,10.53,3.87,0.12,0.33,15.7,14,7,8,56.8,50.6,0.13,-0.8,-1.6,59
Brighton,29,38,68,607,219,36.1,15.97,5.76,0.1,0.28,16.8,12,6,6,73.3,68.9,0.12,-5.3,-6.9,62
Chelsea,32,38,37,481,151,31.4,12.66,3.97,0.07,0.23,16.8,10,3,3,49.5,47.2,0.1,-12.5,-13.2,44
Crystal Palace,26,38,38,423,133,31.4,11.13,3.5,0.09,0.28,17.6,23,1,3,39.3,36.8,0.09,-1.3,0.2,45
Everton,28,38,32,426,143,33.6,11.21,3.76,0.07,0.2,16.8,12,3,3,45.2,42.8,0.1,-13.2,-13.8,36
Fulham,29,38,52,420,137,32.6,11.05,3.61,0.11,0.34,17.3,17,5,9,46.2,39.1,0.1,5.8,7.9,52
Leeds United,29,38,45,459,141,30.7,12.08,3.71,0.1,0.31,16.6,19,1,3,47.4,45,0.1,-2.4,-1,31
Leicester City,28,38,49,412,142,34.5,10.84,3.74,0.11,0.32,17.7,14,3,6,50.6,45.8,0.11,-1.6,0.2,34
Liverpool,28,38,71,601,203,33.8,15.82,5.34,0.11,0.34,16.2,7,2,4,72.6,69.5,0.12,-1.6,-0.5,67
Manchester City,24,38,92,590,205,34.7,15.53,5.39,0.14,0.4,16.6,20,9,10,78.6,71.1,0.12,13.4,11.9,89
Manchester Utd,26,38,56,590,206,34.9,15.53,5.42,0.09,0.26,17.8,20,3,3,67.7,65.3,0.11,-11.7,-12.3,75
Newcastle Utd,27,38,64,565,184,32.6,14.87,4.84,0.1,0.32,15.6,15,6,6,72,67.4,0.12,-8,-9.4,71
Nott'ham Forest,33,38,36,362,111,30.7,9.53,2.92,0.09,0.3,17.2,9,3,6,39.3,34.6,0.1,-3.3,-1.6,38
Southampton,36,38,36,413,132,32,10.87,3.47,0.08,0.26,18.1,17,2,4,37.7,34.5,0.09,-1.7,-0.5,25
Tottenham,29,38,68,512,186,36.3,13.47,4.89,0.12,0.34,16.7,13,5,6,57.1,52.4,0.1,10.9,10.6,60
West Ham,25,38,41,466,133,28.5,12.26,3.5,0.08,0.26,17.3,13,6,8,49.2,43.7,0.1,-8.2,-8.7,40
Wolves,32,38,28,409,119,29.1,10.76,3.13,0.06,0.21,18,18,3,3,36.8,34.5,0.09,-8.8,-9.5,41
