Squad,# Pl,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG
Arsenal,29,38.0,56,403,146,36.2,10.61,3.84,0.13,0.36,16.4,19,3,3,47.0,44.6,0.11,+9.0,+8.4
Aston Villa,28,38.0,40,453,147,32.5,11.92,3.87,0.09,0.27,17.5,21,1,3,44.3,41.8,0.09,-4.3,-2.8
Bournemouth,27,38.0,38,385,117,30.4,10.13,3.08,0.09,0.29,17.3,21,4,4,44.8,41.7,0.11,-6.8,-7.7
Brighton,25,38.0,35,460,139,30.2,12.11,3.66,0.07,0.24,17.6,11,1,2,45.4,43.8,0.10,-10.4,-9.8
Burnley,22,38.0,41,384,124,32.3,10.11,3.26,0.10,0.31,16.4,18,3,3,47.4,45.3,0.12,-6.4,-7.3
Chelsea,27,38.0,69,618,210,34.0,16.26,5.53,0.10,0.30,16.6,29,7,7,69.2,64.4,0.11,-0.2,-2.4
Crystal Palace,25,38.0,29,373,115,30.8,9.82,3.03,0.07,0.23,17.0,15,3,3,35.8,33.6,0.09,-6.8,-7.6
Everton,24,38.0,42,468,159,34.0,12.32,4.18,0.09,0.26,16.4,20,1,1,50.8,50.0,0.11,-8.8,-9.0
Leicester City,24,38.0,65,533,183,34.3,14.03,4.82,0.11,0.33,17.4,20,5,7,62.2,56.7,0.11,+2.8,+3.3
Liverpool,24,38.0,83,586,224,38.2,15.42,5.89,0.13,0.35,16.5,20,5,5,68.9,65.0,0.11,+14.1,+13.0
Manchester City,24,38.0,100,735,250,34.0,19.34,6.58,0.13,0.38,16.4,27,6,11,92.0,83.6,0.12,+8.0,+10.4
Manchester Utd,29,38.0,65,530,201,37.9,13.95,5.29,0.10,0.27,19.1,33,10,14,62.2,51.2,0.10,+2.8,+3.8
Newcastle Utd,28,38.0,38,398,132,33.2,10.47,3.47,0.10,0.29,19.1,14,0,1,35.5,34.8,0.09,+2.5,+3.2
Norwich City,30,38.0,25,407,126,31.0,10.71,3.32,0.06,0.18,18.0,16,2,2,37.0,35.4,0.09,-12.0,-12.4
Sheffield Utd,26,38.0,36,352,109,31.0,9.26,2.87,0.10,0.32,15.2,4,1,1,43.0,42.2,0.12,-7.0,-7.2
Southampton,25,38.0,51,494,171,34.6,13.00,4.50,0.10,0.29,17.8,27,2,5,56.1,52.1,0.11,-5.1,-3.1
Tottenham,29,38.0,56,440,154,35.0,11.58,4.05,0.12,0.34,18.4,21,3,4,47.9,44.7,0.10,+8.1,+8.3
Watford,26,38.0,35,416,112,26.9,10.95,2.95,0.07,0.25,17.3,18,7,8,48.9,42.6,0.10,-13.9,-14.6
West Ham,29,38.0,49,413,156,37.8,10.87,4.11,0.11,0.29,16.4,13,4,4,48.6,45.4,0.11,+0.4,-0.4
Wolves,21,38.0,49,457,142,31.1,12.03,3.74,0.10,0.32,17.4,13,4,4,54.1,51.0,0.11,-5.1,-6.0
