Squad,# Pl,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def
Amiens,26,38.0,665,17.50,465,66,33,36,53,12,54,1.42,39,4,4,2,3,2
Angers,24,38.0,781,20.55,531,77,56,44,59,14,68,1.79,46,6,4,7,5,0
Bordeaux,33,38.0,750,19.74,564,57,44,29,42,14,59,1.55,44,3,5,4,2,1
Caen,26,38.0,580,15.26,397,62,28,31,51,11,53,1.39,34,4,3,4,8,0
Dijon,26,38.0,805,21.18,551,85,59,48,48,14,50,1.32,31,3,8,6,1,1
Guingamp,30,38.0,718,18.89,495,83,39,37,54,10,50,1.32,31,8,1,4,6,0
Lille,25,38.0,895,23.55,655,75,58,36,56,15,124,3.26,80,8,16,5,13,2
Lyon,25,38.0,1215,31.97,890,86,79,77,74,9,129,3.39,98,1,9,11,8,2
Marseille,24,38.0,925,24.34,647,113,36,62,54,13,101,2.66,69,10,4,15,3,0
Monaco,42,38.0,818,21.53,571,80,54,51,44,18,64,1.68,44,3,4,5,6,2
Montpellier,25,38.0,889,23.39,633,91,60,41,53,11,84,2.21,55,6,7,9,5,2
Nantes,33,38.0,905,23.82,630,101,32,47,76,19,72,1.89,46,5,5,9,7,0
Nice,30,38.0,792,20.84,513,77,82,44,61,15,47,1.24,30,3,4,3,7,0
Nîmes,23,38.0,886,23.32,594,95,66,57,61,13,89,2.34,46,12,11,9,10,1
Paris S-G,30,38.0,997,26.24,753,68,66,43,50,17,181,4.76,134,7,14,12,11,3
Reims,27,38.0,689,18.13,487,68,50,41,33,10,70,1.84,49,4,8,4,4,1
Rennes,28,38.0,837,22.03,566,61,63,42,86,19,90,2.37,55,8,8,9,10,0
Saint-Étienne,29,38.0,837,22.03,577,89,49,64,46,12,95,2.50,59,13,3,9,10,1
Strasbourg,26,38.0,717,18.87,519,78,46,34,31,9,100,2.63,73,8,4,8,6,1
Toulouse,29,38.0,750,19.74,493,79,60,56,52,10,55,1.45,30,4,3,10,8,0
