Squad,# Pl,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err
Amiens,27,28.0,425,238,194,184,47,201,510,39.4,309,280,87,193,300,725,615,17
Angers,26,28.0,439,279,206,178,55,177,452,39.2,275,229,51,178,267,706,513,8
Bordeaux,26,28.0,483,284,232,206,45,230,595,38.7,365,237,89,148,302,785,575,13
Brest,24,28.0,484,282,238,186,60,184,472,39.0,288,263,82,181,352,836,537,11
Dijon,28,28.0,516,304,259,208,49,239,548,43.6,309,277,100,177,332,848,596,14
Lille,25,28.0,424,237,163,203,58,183,467,39.2,284,263,62,201,278,702,450,9
Lyon,27,28.0,492,304,232,193,67,201,442,45.5,241,241,94,147,311,803,540,7
Marseille,23,28.0,564,325,246,246,72,235,560,42.0,325,264,58,206,312,876,533,9
Metz,24,28.0,526,337,295,186,45,213,475,44.8,262,293,97,196,312,838,635,5
Monaco,28,28.0,504,307,231,221,52,235,556,42.3,321,249,70,179,281,785,495,15
Montpellier,27,28.0,449,286,215,190,44,217,570,38.1,353,220,83,137,308,757,520,7
Nantes,29,28.0,548,347,245,249,54,265,550,48.2,285,217,72,145,305,853,512,4
Nice,31,28.0,471,279,246,180,45,212,516,41.1,304,280,81,199,343,814,480,13
Nîmes,28,28.0,552,302,235,258,59,249,599,41.6,350,272,75,197,329,881,469,6
Paris S-G,31,27.0,484,295,191,220,73,191,473,40.4,282,258,57,201,255,739,303,13
Reims,26,28.0,490,324,259,185,46,184,401,45.9,217,228,72,156,325,815,514,8
Rennes,26,28.0,501,296,251,205,45,218,533,40.9,315,277,96,181,272,773,594,7
Saint-Étienne,31,28.0,512,318,212,238,62,219,508,43.1,289,267,63,204,376,888,478,15
Strasbourg,25,27.0,472,293,234,193,45,189,403,46.9,214,198,51,147,301,773,436,11
Toulouse,30,28.0,549,346,270,227,52,220,508,43.3,288,252,77,175,320,869,592,13
