Squad,# Pl,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Points
Arsenal,29,38,53,453,140,30.9,11.92,3.68,0.1,0.34,17.7,23,6,6,51.8,47,0.11,1.2,0,61
Aston Villa,24,38,52,514,178,34.6,13.53,4.68,0.09,0.26,17.3,16,5,6,52.5,47.9,0.1,-0.5,-0.9,55
Brighton,27,38,39,478,134,28,12.58,3.53,0.07,0.25,17.4,15,6,9,50.9,43.8,0.09,-11.9,-10.8,41
Burnley,25,38,32,381,124,32.5,10.03,3.26,0.08,0.23,17.4,15,3,3,39.3,36.9,0.1,-7.3,-7.9,39
Chelsea,27,38,56,546,193,35.3,14.37,5.08,0.09,0.25,17.1,16,8,10,62.4,54.5,0.1,-6.4,-6.5,67
Crystal Palace,24,38,39,345,127,36.8,9.08,3.34,0.1,0.28,17.6,18,3,4,34.1,31,0.09,4.9,5,44
Everton,29,38,45,395,143,36.2,10.39,3.76,0.1,0.29,17.2,15,4,5,45.7,41.9,0.11,-0.7,-0.9,59
Fulham,28,38,26,436,125,28.7,11.47,3.29,0.05,0.18,18.3,12,3,6,40.5,35.9,0.08,-14.5,-12.9,28
Leeds United,23,38,60,518,193,37.3,13.63,5.08,0.11,0.29,16.9,9,4,4,55.6,52.5,0.1,4.4,3.5,59
Leicester City,27,38,64,473,170,35.9,12.45,4.47,0.11,0.32,18.6,20,10,12,55.8,46.3,0.1,8.2,7.7,66
Liverpool,28,38,65,602,204,33.9,15.84,5.37,0.1,0.29,17.1,22,6,6,67.5,62.9,0.11,-2.5,-3.9,69
Manchester City,24,38,82,590,211,35.8,15.53,5.55,0.13,0.36,17.2,21,5,9,68.2,61.2,0.11,13.8,15.8,86
Manchester Utd,29,38,70,515,196,38.1,13.55,5.16,0.12,0.31,18.1,21,10,11,60.1,51.4,0.1,9.9,8.6,74
Newcastle Utd,27,38,44,390,130,33.3,10.26,3.42,0.1,0.29,18.3,25,6,7,43.4,37.8,0.1,0.6,0.2,45
Sheffield Utd,27,38,19,319,92,28.8,8.39,2.42,0.05,0.17,17.7,5,3,4,32.6,29.5,0.09,-13.6,-13.5,23
Southampton,29,38,47,418,157,37.6,11,4.13,0.1,0.27,18.6,20,5,6,41.2,36.6,0.09,5.8,5.4,43
Tottenham,24,38,66,438,167,38.1,11.53,4.39,0.14,0.37,18,35,5,5,53.1,49.2,0.12,12.9,11.8,62
West Brom,30,38,33,335,106,31.6,8.82,2.79,0.09,0.27,18.4,16,4,4,35.8,32.7,0.1,-2.8,-3.7,26
West Ham,24,38,60,464,158,34.1,12.21,4.16,0.13,0.37,16.1,17,2,4,55.4,52.1,0.12,4.6,5.9,65
Wolves,27,38,34,459,149,32.5,12.08,3.92,0.07,0.2,18.5,18,4,4,36.5,33.4,0.08,-2.5,-3.4,45
